Wall time,Step,Value
1743782290.5271516,250000,-952345.5625
1743782424.3954868,500000,-948062.0
1743782556.0422409,750000,-695800.625
1743782688.9179876,1000000,-918730.9375
1743782821.1321094,1250000,-925524.25
1743782954.0433354,1500000,-871848.0
1743783085.945344,1750000,-898081.875
1743783219.3496442,2000000,-860197.1875
1743783355.2861516,2250000,-449928.0625
1743783491.1462445,2500000,-943941.8125
1743783630.5462837,2750000,-470247.34375
1743783774.5018303,3000000,-174827.078125
1743783918.0359604,3250000,-204449.453125
1743784061.6849718,3500000,-240658.421875
1743784202.1871243,3750000,-988331.6875
1743784345.6939843,4000000,37536.38671875
1743784488.7715247,4250000,13803.263671875
1743784632.2036853,4500000,-119915.265625
1743784775.024995,4750000,-80337.3828125
1743784919.9544992,5000000,5831.392578125
1743785064.019251,5250000,-398150.09375
1743785206.6512263,5500000,-434455.625
1743785349.256916,5750000,19691.875
1743785489.974976,6000000,100706.375
1743785636.5205154,6250000,37535.10546875
1743785780.425596,6500000,-861679.4375
1743785923.7205894,6750000,-170740.25
1743786068.3769908,7000000,-861347.4375
1743786202.0373573,7250000,-894133.8125
1743786343.8900568,7500000,251532.328125
1743786483.7050657,7750000,-475051.09375
1743786623.6441214,8000000,-611631.125
1743786757.3648586,8250000,-860891.6875
1743786900.8745718,8500000,150066.75
1743787047.6616113,8750000,111689.8359375
1743787193.3783505,9000000,-37015.703125
1743787332.7346745,9250000,-427770.84375
1743787472.6170342,9500000,-239944.203125
1743787617.4600418,9750000,-869697.1875
1743787765.5740838,10000000,22669.287109375
1743787912.1883643,10250000,-65771.578125
1743788059.742775,10500000,-22270.904296875
1743788205.8032923,10750000,127501.4375
1743788353.9014864,11000000,220420.53125
1743788502.3821466,11250000,88188.296875
1743788648.9563553,11500000,-126022.8359375
1743788791.3043013,11750000,-447300.53125
1743788930.1639135,12000000,-719692.1875
1743789073.072931,12250000,-186956.65625
1743789216.4729013,12500000,-437313.46875
1743789358.0409327,12750000,-360598.0625
1743789502.0994377,13000000,-273012.59375
1743789645.7918308,13250000,-272383.40625
1743789791.7986293,13500000,-248632.921875
1743789936.5237956,13750000,-252891.359375
1743790081.9863243,14000000,-204348.75
1743790224.5970094,14250000,-817226.875
1743790368.7959182,14500000,-203034.671875
1743790512.0738683,14750000,-214568.5625
1743790657.0371277,15000000,-176251.546875
1743790801.8921108,15250000,-188498.71875
1743790947.8116937,15500000,-200570.90625
1743791092.612121,15750000,-213082.046875
1743791235.5168438,16000000,-185606.5625
1743791380.6019056,16250000,-218715.546875
1743791523.895125,16500000,-208362.734375
1743791668.4980469,16750000,919479.5625
1743791813.9688604,17000000,-272958.59375
1743791957.7653785,17250000,-222765.359375
1743792102.8622613,17500000,-178583.25
1743792245.7157583,17750000,-228779.71875
1743792387.2881763,18000000,-120860.015625
1743792527.4777024,18250000,-213049.96875
1743792669.479248,18500000,-147921.109375
1743792814.2810628,18750000,-172757.671875
1743792957.251812,19000000,-517660.5
1743793097.8916523,19250000,-157634.59375
1743793240.3978114,19500000,-279946.125
1743793380.9820178,19750000,-589591.75
1743793525.590639,20000000,-176179.3125
1743793670.5771794,20250000,-67592.6640625
1743793813.9879441,20500000,-387820.34375
1743793953.9789836,20750000,-430159.5625
1743794096.9538238,21000000,-179978.671875
1743794243.0348184,21250000,-160818.15625
1743794390.0334787,21500000,185158.1875
1743794536.254511,21750000,-11799.412109375
1743794684.2985077,22000000,200526.078125
1743794831.3502336,22250000,66334.2734375
1743794977.5050693,22500000,-84090.3359375
1743795125.6062539,22750000,190395.875
1743795273.863499,23000000,90253.71875
1743795422.0552115,23250000,193285.765625
1743795570.6592534,23500000,80270.09375
1743795719.0415523,23750000,45111.82421875
1743795869.3501053,24000000,484950.59375
1743796018.9317634,24250000,321249.375
1743796168.3743014,24500000,86827.8046875
1743796318.03778,24750000,391271.15625
1743796468.593448,25000000,471435.625
1743796617.9645991,25250000,337196.34375
1743796769.146527,25500000,756472.875
1743796919.2065964,25750000,221602.265625
1743797067.7629569,26000000,283710.9375
1743797215.5652492,26250000,201192.140625
1743797364.510572,26500000,283272.15625
1743797512.4602532,26750000,-105974.9765625
1743797658.1296484,27000000,-866541.4375
1743797803.014545,27250000,-898356.0
1743797948.9714618,27500000,-887133.8125
1743798098.3958805,27750000,630171.375
1743798247.685472,28000000,379213.71875
1743798397.848917,28250000,521578.0
1743798547.1074443,28500000,297765.40625
1743798693.5938067,28750000,-159774.25
1743798840.8174164,29000000,165496.015625
1743798984.568688,29250000,-860059.625
1743799128.4924464,29500000,-860464.0
1743799266.8508832,29750000,-865292.0625
1743799410.9064686,30000000,-865640.1875
1743799554.9570072,30250000,-875611.3125
1743799700.9244573,30500000,-355155.34375
1743799843.956274,30750000,-873599.875
1743799990.3386807,31000000,100792.9140625
1743800136.0077975,31250000,-7763.462890625
1743800282.1418262,31500000,26535.115234375
1743800425.1288793,31750000,-634392.5
1743800572.152248,32000000,99148.328125
1743800717.6929922,32250000,-132336.78125
1743800864.0498364,32500000,116760.4375
1743801011.3424213,32750000,2174747.75
1743801158.1445837,33000000,-42859.0078125
1743801304.4510922,33250000,3638.40283203125
1743801451.4747133,33500000,5011852.5
1743801598.7902575,33750000,5173286.0
1743801746.4234567,34000000,697260.4375
1743801894.1320071,34250000,2481259.0
1743802042.9664445,34500000,2418916.5
1743802190.1259074,34750000,46383.46484375
1743802338.2695847,35000000,3261172.0
1743802486.2828557,35250000,1719919.625
1743802634.4958627,35500000,2053502.375
1743802780.4603364,35750000,1670560.25
1743802928.6949835,36000000,4367738.0
1743803075.9833262,36250000,46838.9375
1743803223.2478771,36500000,16853188.0
1743803372.0616643,36750000,306850.9375
1743803518.757434,37000000,-135290.9375
1743803665.352402,37250000,4064163.0
1743803811.9576654,37500000,7445983.5
1743803958.0065007,37750000,2801214.0
1743804103.6545522,38000000,-155380.828125
1743804248.2306552,38250000,4460821.5
1743804395.0745692,38500000,-210855.234375
1743804539.1237137,38750000,-858929.125
1743804678.2685192,39000000,-875475.625
1743804822.3263764,39250000,-867842.5
1743804965.8512506,39500000,-861364.4375
1743805109.4733474,39750000,-858809.75
1743805257.6122236,40000000,22240186.0
1743805403.6571288,40250000,-110286.3515625
1743805550.2711337,40500000,19580.462890625
1743805698.592358,40750000,344372.40625
1743805848.5961876,41000000,3059343.25
1743805998.091473,41250000,27775354.0
1743806145.7883809,41500000,10236520.0
1743806290.9353626,41750000,-909348.4375
1743806437.4465828,42000000,-898263.5
1743806584.1004252,42250000,15070161.0
1743806732.5393095,42500000,257177.578125
1743806881.5180788,42750000,220492.921875
1743807032.4372647,43000000,14117232.0
1743807182.1712687,43250000,3360958.75
1743807331.8139064,43500000,9892563.0
1743807477.64862,43750000,-868165.4375
1743807626.8985643,44000000,16093224.0
1743807772.7671728,44250000,-882807.125
1743807918.8146222,44500000,-874097.0625
1743808064.0799491,44750000,-859670.625
1743808209.684437,45000000,-899351.625
1743808354.5184004,45250000,-902283.3125
1743808500.6384392,45500000,-960664.875
1743808649.6737778,45750000,-988331.875
1743808798.5609474,46000000,-896328.625
1743808946.8428698,46250000,-933379.875
1743809095.2230275,46500000,-860405.8125
1743809247.1410418,46750000,4626221.5
1743809400.2751102,47000000,863284.1875
1743809552.1783838,47250000,21816444.0
1743809699.8146029,47500000,3054838.0
1743809851.097846,47750000,850928.4375
1743810002.3446198,48000000,847460.875
1743810152.9699686,48250000,4441831.0
1743810305.7628393,48500000,3265414.75
1743810459.103929,48750000,46765244.0
1743810612.7582765,49000000,1181440.375
1743810767.0390995,49250000,41615592.0
1743810920.5284042,49500000,31368494.0
1743811073.7346072,49750000,11834290.0
1743811226.8702757,50000000,31645588.0
1743811379.4899662,50250000,394653.9375
1743811534.0617602,50500000,17849052.0
1743811687.8049276,50750000,1250603.125
1743811841.2841525,51000000,57100960.0
1743811993.683642,51250000,30329408.0
1743812147.2186294,51500000,604305.75
1743812300.7430298,51750000,52315528.0
1743812450.25371,52000000,399641.875
1743812598.2556384,52250000,8588096.0
1743812749.9603045,52500000,10152358.0
1743812903.1218572,52750000,77046304.0
1743813053.022643,53000000,-864887.625
1743813201.8452728,53250000,-858323.0625
1743813352.0223901,53500000,13545532.0
1743813503.6208975,53750000,64766552.0
1743813657.7208447,54000000,9020244.0
1743813811.6073306,54250000,10561886.0
1743813965.8794975,54500000,38966104.0
1743814119.0286617,54750000,833628.1875
1743814273.6247973,55000000,78660632.0
1743814420.9371042,55250000,-862412.9375
1743814574.1546955,55500000,635581.8125
1743814721.0855637,55750000,-864306.4375
1743814871.5559223,56000000,18946392.0
1743815018.0200276,56250000,-860597.125
1743815167.63579,56500000,-859012.5
1743815321.1463187,56750000,849794.9375
1743815474.0363307,57000000,13947087.0
1743815627.6454976,57250000,90761520.0
1743815781.4298556,57500000,826698.9375
1743815931.5711513,57750000,24909674.0
1743816085.4579132,58000000,89755904.0
1743816239.844105,58250000,81847568.0
1743816394.046346,58500000,81650640.0
1743816542.2123375,58750000,-218541.296875
1743816694.0842252,59000000,961573.1875
1743816843.1337473,59250000,-344648.65625
1743816992.2255971,59500000,-874063.3125
1743817147.0661669,59750000,172891.59375
1743817301.1124706,60000000,852502.75
1743817452.921412,60250000,40731.484375
1743817605.350365,60500000,68365136.0
1743817757.4440916,60750000,4336934.5
1743817911.43052,61000000,731950.375
1743818064.365148,61250000,71734240.0
1743818215.322833,61500000,19747566.0
1743818369.6661286,61750000,92548048.0
1743818524.7119057,62000000,76985536.0
1743818678.6654303,62250000,8192180.0
1743818833.4169943,62500000,8043146.0
1743818987.0476997,62750000,177396.59375
1743819140.8645775,63000000,4860025.5
1743819295.2042804,63250000,90453800.0
1743819449.4433637,63500000,90929504.0
1743819604.1625924,63750000,89082808.0
1743819758.872788,64000000,62803776.0
1743819912.898643,64250000,88092992.0
1743820066.8269062,64500000,22377034.0
1743820218.1430628,64750000,7686709.0
1743820371.8351936,65000000,19845486.0
1743820524.2455223,65250000,77478648.0
1743820679.44591,65500000,1109767.625
1743820833.5658839,65750000,14070558.0
1743820983.0369537,66000000,-890366.125
1743821137.088801,66250000,90102528.0
1743821291.2958958,66500000,91523976.0
1743821445.5498,66750000,84621344.0
1743821598.9864511,67000000,76750376.0
1743821747.4783623,67250000,-997936.5625
1743821898.9184642,67500000,-768419.3125
1743822047.2944117,67750000,-873105.875
1743822201.678494,68000000,85760064.0
1743822356.0804465,68250000,86972960.0
1743822510.0118291,68500000,78560088.0
1743822664.1506515,68750000,29775668.0
1743822819.3914528,69000000,281371.0625
1743822973.37711,69250000,16098901.0
1743823127.7368257,69500000,84284888.0
1743823278.0370953,69750000,-129488.03125
1743823431.114154,70000000,3600636.5
1743823585.8934612,70250000,49019408.0
1743823733.2447932,70500000,-295733.40625
1743823886.6399238,70750000,6048566.5
1743824040.4507236,71000000,57822676.0
1743824194.7798078,71250000,86385472.0
1743824348.629387,71500000,44463992.0
1743824501.639268,71750000,682353.0
1743824656.609496,72000000,63603136.0
1743824808.8110242,72250000,45729900.0
1743824963.368912,72500000,65383880.0
1743825117.7484913,72750000,87885848.0
1743825272.5657732,73000000,64792716.0
1743825427.763243,73250000,85147744.0
1743825577.1387255,73500000,-885643.9375
1743825728.9466789,73750000,2606721.75
1743825883.9439383,74000000,89453736.0
1743826037.3474524,74250000,65697060.0
1743826191.5403535,74500000,446426.34375
1743826339.4273927,74750000,-898847.1875
1743826488.3132856,75000000,-908306.9375
1743826642.917779,75250000,88712912.0
1743826797.0271857,75500000,74411192.0
1743826950.3419747,75750000,79854672.0
1743827104.394523,76000000,57754456.0
1743827257.2799037,76250000,12627734.0
1743827410.9931643,76500000,83583928.0
1743827565.4024413,76750000,1264494.25
1743827719.480997,77000000,87784512.0
1743827873.540611,77250000,66694068.0
1743828028.6709511,77500000,88516456.0
1743828176.641183,77750000,86969920.0
1743828322.304904,78000000,89715304.0
1743828467.071676,78250000,92176920.0
1743828611.2196789,78500000,73828296.0
1743828755.9752214,78750000,24490872.0
1743828900.0978675,79000000,5616880.5
